timestamp,date_iso,open_interest,noncomm_long,noncomm_short,noncomm_spread,comm_long,comm_short,nonreportable_long,nonreportable_short
1523318400000,2018-04-10T00:00:00.000Z,1702,1077,1315,26,0,0,599,361
1523923200000,2018-04-17T00:00:00.000Z,2029,1305,1645,42,0,0,682,342
1524528000000,2018-04-24T00:00:00.000Z,2380,1497,2018,54,0,0,829,308
1525132800000,2018-05-01T00:00:00.000Z,1991,1375,1631,27,0,0,589,333
1525737600000,2018-05-08T00:00:00.000Z,2485,1675,2075,20,0,0,790,390
1526342400000,2018-05-15T00:00:00.000Z,2505,1675,2052,26,0,0,804,427
1526947200000,2018-05-22T00:00:00.000Z,2684,1785,2228,50,0,0,849,406
1527552000000,2018-05-29T00:00:00.000Z,2714,1696,2253,58,0,0,960,403
1528156800000,2018-06-05T00:00:00.000Z,2556,1713,2179,27,0,0,816,350
1528761600000,2018-06-12T00:00:00.000Z,2643,1805,2182,19,0,0,819,442
1529366400000,2018-06-19T00:00:00.000Z,2633,1718,2063,111,0,0,804,459
1529971200000,2018-06-26T00:00:00.000Z,2687,1708,2131,140,0,0,839,416
1530576000000,2018-07-03T00:00:00.000Z,2514,1680,2089,48,0,0,786,377
1531180800000,2018-07-10T00:00:00.000Z,2622,1808,2139,113,0,0,701,370
1531785600000,2018-07-17T00:00:00.000Z,2854,1987,2334,83,0,77,784,360
1532390400000,2018-07-24T00:00:00.000Z,3431,2295,2792,205,0,77,931,357
1532995200000,2018-07-31T00:00:00.000Z,3063,1981,2433,267,0,85,815,278
1533600000000,2018-08-07T00:00:00.000Z,2732,1616,1982,316,0,85,800,349
1534204800000,2018-08-14T00:00:00.000Z,2983,2203,2425,75,0,77,705,406
1534809600000,2018-08-21T00:00:00.000Z,2981,2189,2454,81,0,90,711,356
1535414400000,2018-08-28T00:00:00.000Z,2840,1915,2354,66,0,90,859,330
1536019200000,2018-09-04T00:00:00.000Z,2707,1862,2184,25,0,145,820,353
1536624000000,2018-09-11T00:00:00.000Z,2711,1746,2105,222,0,143,743,241
1537228800000,2018-09-18T00:00:00.000Z,2742,1656,2037,228,0,139,858,338
1537833600000,2018-09-25T00:00:00.000Z,2746,1625,1952,332,0,139,789,323
1538438400000,2018-10-02T00:00:00.000Z,2354,1590,1918,23,0,155,741,258
1539043200000,2018-10-09T00:00:00.000Z,2848,2038,2289,24,0,170,786,365
1539648000000,2018-10-16T00:00:00.000Z,2730,1962,2190,64,0,170,704,306
1540252800000,2018-10-23T00:00:00.000Z,3001,1870,1997,466,0,171,665,367
1540857600000,2018-10-30T00:00:00.000Z,2608,1973,2033,82,0,167,553,326
